epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6586,1.55272,4.08329,1.47043,0.00559,0.10732,0.03616,0.02261,1.44584,4.02548,1.37192,0.00019343,0.00019343,0.00019343
2,27.5395,1.57071,3.35049,1.43186,0.98375,0.01909,0.08477,0.04264,1.59393,3.72421,1.50934,0.000389634,0.000389634,0.000389634
3,36.6252,1.62251,2.53337,1.46648,0.76781,0.07126,0.22011,0.11466,1.63649,2.91681,1.58589,0.000581876,0.000581876,0.000581876
4,46.792,1.61014,2.25548,1.46342,0.69978,0.25076,0.28029,0.14936,1.71556,2.41807,1.68465,0.00064719,0.00064719,0.00064719
5,57.0259,1.6103,2.09279,1.45611,0.45363,0.31267,0.34492,0.17639,1.66523,2.05784,1.64372,0.000640587,0.000640587,0.000640587
6,65.627,1.5494,1.90349,1.4254,0.54716,0.3997,0.42407,0.21841,1.63728,1.70767,1.59305,0.000633983,0.000633983,0.000633983
7,74.3591,1.49179,1.78782,1.41028,0.60501,0.42378,0.43964,0.22522,1.63062,1.71253,1.59143,0.00062738,0.00062738,0.00062738
8,83.5982,1.50078,1.68678,1.41628,0.56069,0.44348,0.46113,0.24212,1.63587,1.6405,1.56059,0.000620777,0.000620777,0.000620777
9,92.0527,1.45976,1.61398,1.3833,0.66258,0.45306,0.47864,0.25133,1.61678,1.54009,1.57239,0.000614174,0.000614174,0.000614174
10,100.678,1.4819,1.5926,1.37204,0.55798,0.47224,0.47864,0.25074,1.60323,1.52323,1.5496,0.00060757,0.00060757,0.00060757
11,109.272,1.43777,1.52923,1.35533,0.6692,0.4658,0.50618,0.27336,1.54039,1.48644,1.49775,0.000600967,0.000600967,0.000600967
12,117.831,1.41307,1.52077,1.33493,0.68865,0.47638,0.50631,0.28246,1.52743,1.47219,1.49669,0.000594364,0.000594364,0.000594364
13,126.306,1.36875,1.4552,1.32921,0.72028,0.49005,0.5147,0.28877,1.51002,1.42263,1.50371,0.00058776,0.00058776,0.00058776
14,135.241,1.38366,1.41196,1.31953,0.6673,0.49699,0.50771,0.27271,1.60186,1.41677,1.52378,0.000581157,0.000581157,0.000581157
15,143.804,1.3321,1.40138,1.30792,0.73867,0.47798,0.52872,0.2846,1.52162,1.44881,1.49818,0.000574554,0.000574554,0.000574554
16,152.448,1.32271,1.33149,1.28744,0.65498,0.48139,0.52936,0.28324,1.5075,1.37863,1.47436,0.00056795,0.00056795,0.00056795
17,162.041,1.34663,1.34692,1.30732,0.66478,0.50334,0.53375,0.29305,1.52387,1.34249,1.46199,0.000561347,0.000561347,0.000561347
18,170.579,1.30123,1.30607,1.28866,0.72196,0.47527,0.54159,0.29586,1.53727,1.43195,1.4867,0.000554744,0.000554744,0.000554744
19,179.455,1.28725,1.28978,1.28558,0.65882,0.53144,0.54724,0.29637,1.48572,1.32493,1.44788,0.000548141,0.000548141,0.000548141
20,188.029,1.24394,1.19712,1.24477,0.71523,0.52211,0.56772,0.31511,1.49401,1.29937,1.47768,0.000541537,0.000541537,0.000541537
21,196.707,1.31315,1.2497,1.27067,0.68681,0.53937,0.56085,0.32122,1.47971,1.30302,1.46681,0.000534934,0.000534934,0.000534934
22,205.311,1.22434,1.17913,1.23004,0.69739,0.53887,0.56353,0.311,1.50822,1.30881,1.47004,0.000528331,0.000528331,0.000528331
23,213.85,1.23563,1.17253,1.22775,0.70326,0.52972,0.57346,0.32515,1.45216,1.28525,1.44333,0.000521727,0.000521727,0.000521727
24,222.418,1.2276,1.15727,1.23033,0.74223,0.51328,0.578,0.33197,1.45673,1.24686,1.44683,0.000515124,0.000515124,0.000515124
25,231.267,1.21484,1.12637,1.22111,0.70896,0.51922,0.5797,0.3232,1.49343,1.28825,1.4509,0.000508521,0.000508521,0.000508521
