epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6891,1.54664,4.03973,1.46661,0.01148,0.11592,0.03852,0.02542,1.38998,3.97035,1.3418,0.00019343,0.00019343,0.00019343
2,21.2148,1.56079,3.36321,1.40988,0.01147,0.25656,0.107,0.05718,1.58583,3.68574,1.46811,0.000389634,0.000389634,0.000389634
3,27.5778,1.58859,2.59801,1.41922,0.72179,0.11695,0.15179,0.08231,1.67215,2.85604,1.58545,0.000581876,0.000581876,0.000581876
4,35.8004,1.59495,2.26207,1.42599,0.53847,0.33035,0.34386,0.17876,1.68841,2.07282,1.6163,0.00064719,0.00064719,0.00064719
5,42.183,1.55642,1.99824,1.39571,0.57381,0.37539,0.38815,0.19488,1.64274,1.97469,1.56226,0.000640587,0.000640587,0.000640587
6,49.8784,1.48738,1.83939,1.36313,0.50569,0.41018,0.41337,0.20567,1.59431,1.78843,1.52929,0.000633983,0.000633983,0.000633983
7,58.127,1.44824,1.76779,1.34614,0.56306,0.45043,0.4733,0.25071,1.57082,1.61306,1.4733,0.00062738,0.00062738,0.00062738
8,64.3749,1.44418,1.64564,1.35216,0.57671,0.45635,0.48467,0.24724,1.62419,1.5878,1.5162,0.000620777,0.000620777,0.000620777
9,70.6382,1.44509,1.58298,1.34432,0.59714,0.48699,0.49078,0.26543,1.55266,1.57434,1.46056,0.000614174,0.000614174,0.000614174
10,77.291,1.42262,1.57928,1.31739,0.64986,0.45694,0.50691,0.27959,1.51188,1.49499,1.46152,0.00060757,0.00060757,0.00060757
11,84.125,1.39187,1.49695,1.30719,0.70785,0.45713,0.50387,0.27857,1.51701,1.54234,1.45094,0.000600967,0.000600967,0.000600967
12,90.5343,1.38077,1.50783,1.29198,0.69051,0.4302,0.49026,0.27342,1.5353,1.53725,1.45785,0.000594364,0.000594364,0.000594364
13,96.685,1.35386,1.4664,1.2966,0.71827,0.4611,0.51846,0.27286,1.5688,1.46712,1.50647,0.00058776,0.00058776,0.00058776
14,103.222,1.35325,1.41141,1.27804,0.75225,0.45057,0.51747,0.28365,1.59982,1.53974,1.49751,0.000581157,0.000581157,0.000581157
15,109.371,1.28903,1.38655,1.26181,0.63962,0.47423,0.52609,0.28244,1.58371,1.51227,1.51916,0.000574554,0.000574554,0.000574554
16,115.594,1.30717,1.34234,1.26505,0.62304,0.49602,0.53282,0.28435,1.55051,1.41335,1.47663,0.00056795,0.00056795,0.00056795
17,121.774,1.2942,1.34887,1.25912,0.70232,0.47119,0.53682,0.29056,1.56254,1.42274,1.4992,0.000561347,0.000561347,0.000561347
18,128.057,1.27385,1.32037,1.25079,0.69632,0.48063,0.53306,0.29178,1.49626,1.39376,1.46597,0.000554744,0.000554744,0.000554744
19,134.283,1.25563,1.26656,1.23956,0.68383,0.52401,0.56361,0.31131,1.46861,1.34155,1.42572,0.000548141,0.000548141,0.000548141
20,140.448,1.23114,1.22282,1.21761,0.70487,0.51001,0.55803,0.31567,1.48414,1.35815,1.42725,0.000541537,0.000541537,0.000541537
21,146.702,1.28437,1.25944,1.2421,0.71612,0.50253,0.54891,0.30612,1.50483,1.54963,1.42755,0.000534934,0.000534934,0.000534934
22,152.91,1.20117,1.19542,1.20062,0.73784,0.51094,0.56108,0.31585,1.49618,1.42326,1.45374,0.000528331,0.000528331,0.000528331
23,159.39,1.21291,1.18878,1.19825,0.75032,0.50424,0.55386,0.31088,1.51221,1.3495,1.45818,0.000521727,0.000521727,0.000521727
24,165.547,1.21107,1.1697,1.1993,0.72076,0.49013,0.56181,0.30823,1.4931,1.39794,1.41919,0.000515124,0.000515124,0.000515124
25,171.722,1.20469,1.13931,1.19963,0.70867,0.51546,0.56661,0.32068,1.47638,1.3223,1.43404,0.000508521,0.000508521,0.000508521
26,178.026,1.21263,1.14513,1.19841,0.72983,0.52363,0.57979,0.31921,1.49527,1.30983,1.44937,0.000501917,0.000501917,0.000501917
27,184.31,1.2009,1.12575,1.18221,0.74678,0.52503,0.58427,0.3336,1.49493,1.27277,1.43661,0.000495314,0.000495314,0.000495314
28,190.677,1.20564,1.11746,1.20317,0.75565,0.517,0.57933,0.32321,1.52742,1.27981,1.44344,0.000488711,0.000488711,0.000488711
