epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1038,1.53923,4.03597,1.46219,0.00981,0.13453,0.04068,0.02449,1.37153,3.99505,1.30305,0.00019343,0.00019343,0.00019343
2,18.4498,1.53519,3.37655,1.43935,0.01134,0.27052,0.1307,0.07757,1.55406,3.5366,1.42074,0.000389634,0.000389634,0.000389634
3,26.4121,1.59736,2.57955,1.42427,0.73604,0.14045,0.17765,0.0973,1.64604,2.80856,1.47373,0.000581876,0.000581876,0.000581876
4,32.5066,1.54397,2.21906,1.4133,0.65057,0.28999,0.30369,0.16555,1.54719,2.07901,1.42949,0.00064719,0.00064719,0.00064719
5,38.5015,1.50056,1.94882,1.37172,0.59632,0.36574,0.38702,0.21969,1.4204,1.77899,1.36462,0.000640587,0.000640587,0.000640587
6,44.5921,1.52921,1.91363,1.38882,0.60017,0.39868,0.41043,0.21835,1.51272,1.73894,1.40953,0.000633983,0.000633983,0.000633983
7,50.6075,1.47204,1.81391,1.36843,0.54636,0.43454,0.47289,0.25292,1.46259,1.5576,1.37982,0.00062738,0.00062738,0.00062738
8,56.692,1.43347,1.69169,1.35201,0.47202,0.41844,0.42305,0.22329,1.52596,1.59408,1.4079,0.000620777,0.000620777,0.000620777
9,62.6907,1.43309,1.63235,1.34018,0.64567,0.37744,0.46211,0.2498,1.48904,1.50884,1.38711,0.000614174,0.000614174,0.000614174
10,68.631,1.42822,1.63241,1.32799,0.65317,0.47305,0.50771,0.27909,1.46699,1.48525,1.36237,0.00060757,0.00060757,0.00060757
11,74.6331,1.40195,1.55995,1.32446,0.59068,0.52097,0.53117,0.30382,1.436,1.37155,1.33567,0.000600967,0.000600967,0.000600967
12,81.0081,1.35681,1.49977,1.29245,0.68296,0.49691,0.55191,0.31322,1.42672,1.33343,1.33698,0.000594364,0.000594364,0.000594364
13,87.0609,1.37798,1.49411,1.30109,0.51675,0.46602,0.50996,0.28441,1.43451,1.44283,1.33394,0.00058776,0.00058776,0.00058776
14,93.1812,1.34046,1.38996,1.28027,0.70967,0.48034,0.54975,0.31794,1.41675,1.27512,1.32169,0.000581157,0.000581157,0.000581157
15,99.1783,1.30901,1.43364,1.27476,0.66091,0.53081,0.54997,0.30729,1.43444,1.26561,1.34564,0.000574554,0.000574554,0.000574554
16,105.145,1.3341,1.3847,1.26262,0.69852,0.52764,0.56451,0.31708,1.412,1.26742,1.31834,0.00056795,0.00056795,0.00056795
17,111.092,1.32555,1.37187,1.28167,0.78043,0.51017,0.57565,0.33305,1.41041,1.27176,1.31798,0.000561347,0.000561347,0.000561347
18,117.146,1.2864,1.32228,1.26227,0.74203,0.51816,0.58379,0.3261,1.4202,1.27109,1.33169,0.000554744,0.000554744,0.000554744
19,123.138,1.27305,1.2807,1.24311,0.65515,0.54632,0.57238,0.32806,1.36422,1.2506,1.29594,0.000548141,0.000548141,0.000548141
20,129.353,1.3007,1.29475,1.25084,0.67005,0.49995,0.55242,0.31278,1.45494,1.43652,1.34487,0.000541537,0.000541537,0.000541537
21,135.434,1.26727,1.23494,1.22699,0.74883,0.54811,0.59944,0.34208,1.38608,1.22771,1.29222,0.000534934,0.000534934,0.000534934
22,141.519,1.22313,1.22582,1.222,0.67748,0.55832,0.58396,0.33352,1.40517,1.18636,1.32236,0.000528331,0.000528331,0.000528331
23,147.576,1.21894,1.17579,1.2085,0.72522,0.53241,0.58608,0.33213,1.38961,1.17942,1.29706,0.000521727,0.000521727,0.000521727
24,153.568,1.2362,1.21054,1.21354,0.6811,0.55892,0.58371,0.32872,1.40206,1.21773,1.32708,0.000515124,0.000515124,0.000515124
25,159.542,1.20362,1.15008,1.21026,0.66837,0.58979,0.59936,0.35419,1.35407,1.12717,1.29643,0.000508521,0.000508521,0.000508521
