epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4777,1.52861,4.0279,1.47975,0.00895,0.10471,0.03754,0.02392,1.46556,4.05746,1.3544,0.00019343,0.00019343,0.00019343
2,18.987,1.55509,3.33925,1.43598,0.01183,0.23901,0.10635,0.06144,1.60839,3.64004,1.44224,0.000389634,0.000389634,0.000389634
3,25.3561,1.57148,2.55381,1.41154,0.75949,0.11631,0.15438,0.07776,1.81507,2.99712,1.57994,0.000581876,0.000581876,0.000581876
4,31.8485,1.57487,2.25683,1.42169,0.72786,0.23386,0.29625,0.15158,1.76636,2.42351,1.51647,0.00064719,0.00064719,0.00064719
5,38.1129,1.50189,2.00225,1.40376,0.47995,0.32692,0.37541,0.18792,1.67247,2.16683,1.46616,0.000640587,0.000640587,0.000640587
6,44.4975,1.49305,1.88908,1.3793,0.5962,0.35796,0.37908,0.19755,1.62902,1.80125,1.42463,0.000633983,0.000633983,0.000633983
7,52.9594,1.42561,1.7349,1.3624,0.55314,0.38993,0.44663,0.23001,1.70121,1.77879,1.48,0.00062738,0.00062738,0.00062738
8,61.9252,1.47583,1.72371,1.39094,0.54809,0.44726,0.47117,0.23985,1.60956,1.61832,1.4207,0.000620777,0.000620777,0.000620777
9,68.1824,1.40012,1.58356,1.31638,0.56364,0.45273,0.46507,0.23435,1.67189,1.7483,1.49598,0.000614174,0.000614174,0.000614174
10,74.5582,1.40189,1.57002,1.33527,0.58017,0.48273,0.52726,0.28178,1.58816,1.59002,1.43766,0.00060757,0.00060757,0.00060757
11,80.9209,1.37224,1.51328,1.31751,0.688,0.47841,0.52971,0.27469,1.61664,1.5942,1.46383,0.000600967,0.000600967,0.000600967
12,87.218,1.37969,1.50848,1.31034,0.71589,0.49919,0.56899,0.30445,1.61741,1.52514,1.4497,0.000594364,0.000594364,0.000594364
13,93.3996,1.33621,1.44483,1.29033,0.66417,0.53415,0.56919,0.3063,1.60478,1.4858,1.43405,0.00058776,0.00058776,0.00058776
14,99.6583,1.32525,1.40399,1.27618,0.80036,0.50302,0.59984,0.3227,1.53799,1.38472,1.38179,0.000581157,0.000581157,0.000581157
15,105.857,1.31186,1.3648,1.27421,0.72628,0.49306,0.58982,0.32764,1.5368,1.40173,1.38946,0.000574554,0.000574554,0.000574554
16,112.417,1.29837,1.30646,1.26009,0.79707,0.486,0.5797,0.31856,1.51081,1.38836,1.36551,0.00056795,0.00056795,0.00056795
17,118.679,1.30554,1.31373,1.25955,0.7703,0.50489,0.58878,0.32325,1.51987,1.40957,1.37052,0.000561347,0.000561347,0.000561347
18,125.081,1.24968,1.26177,1.23482,0.68196,0.5669,0.61204,0.33404,1.50935,1.39417,1.37016,0.000554744,0.000554744,0.000554744
19,131.38,1.24546,1.25183,1.2227,0.64143,0.52654,0.58687,0.31677,1.53049,1.38883,1.37334,0.000548141,0.000548141,0.000548141
20,137.581,1.22821,1.22558,1.21945,0.68222,0.54057,0.61142,0.33655,1.5084,1.41913,1.33852,0.000541537,0.000541537,0.000541537
21,143.689,1.24795,1.18081,1.20706,0.67722,0.54212,0.59397,0.32565,1.50145,1.37024,1.34917,0.000534934,0.000534934,0.000534934
22,149.892,1.21902,1.17379,1.21572,0.7049,0.58664,0.62055,0.34198,1.4828,1.30768,1.34114,0.000528331,0.000528331,0.000528331
23,156.083,1.22677,1.18427,1.21955,0.74757,0.55169,0.61496,0.3328,1.52197,1.30922,1.38391,0.000521727,0.000521727,0.000521727
24,162.301,1.20779,1.13881,1.20925,0.7389,0.5345,0.60255,0.34004,1.51382,1.3266,1.36622,0.000515124,0.000515124,0.000515124
25,168.801,1.21972,1.16294,1.21634,0.7167,0.53742,0.59742,0.33449,1.52075,1.36424,1.38135,0.000508521,0.000508521,0.000508521
26,175.004,1.19721,1.12164,1.20349,0.70852,0.53925,0.602,0.34606,1.50936,1.30916,1.35197,0.000501917,0.000501917,0.000501917
27,181.307,1.19569,1.11044,1.18563,0.70091,0.57977,0.6365,0.35612,1.48339,1.24965,1.34885,0.000495314,0.000495314,0.000495314
28,187.617,1.14611,1.0724,1.17707,0.76763,0.5848,0.64881,0.36564,1.4853,1.23019,1.3718,0.000488711,0.000488711,0.000488711
29,193.917,1.13864,1.08579,1.18412,0.71077,0.57824,0.63384,0.35493,1.50999,1.34567,1.36505,0.000482108,0.000482108,0.000482108
30,200.241,1.16008,1.08309,1.17716,0.745,0.55419,0.61767,0.33883,1.54248,1.34905,1.40386,0.000475504,0.000475504,0.000475504
31,206.536,1.16874,1.06699,1.17585,0.71679,0.58121,0.63571,0.35713,1.50952,1.28722,1.36613,0.000468901,0.000468901,0.000468901
32,212.949,1.18099,1.04438,1.1748,0.73237,0.58753,0.64894,0.36494,1.44312,1.26638,1.32334,0.000462298,0.000462298,0.000462298
33,219.37,1.15908,1.06358,1.17347,0.74248,0.56253,0.62022,0.34908,1.48447,1.29443,1.35717,0.000455694,0.000455694,0.000455694
34,225.77,1.15095,1.02958,1.17598,0.75897,0.5625,0.63014,0.36164,1.48238,1.31628,1.35912,0.000449091,0.000449091,0.000449091
35,232.067,1.13316,0.99535,1.14856,0.77986,0.56935,0.64038,0.36334,1.49852,1.21901,1.36972,0.000442488,0.000442488,0.000442488
36,238.407,1.13275,1.02516,1.15916,0.73377,0.56929,0.61967,0.3499,1.51495,1.352,1.36999,0.000435884,0.000435884,0.000435884
37,244.698,1.11131,0.96428,1.1424,0.77271,0.60336,0.6572,0.36058,1.49972,1.21487,1.35858,0.000429281,0.000429281,0.000429281
38,251.003,1.1387,0.99792,1.13226,0.74848,0.58657,0.64374,0.36473,1.47903,1.20976,1.35065,0.000422678,0.000422678,0.000422678
39,257.189,1.10697,0.97671,1.13868,0.68673,0.5901,0.63315,0.35039,1.52522,1.22781,1.39423,0.000416075,0.000416075,0.000416075
40,263.413,1.10212,0.95693,1.1383,0.68767,0.5924,0.64166,0.36678,1.48546,1.25087,1.36957,0.000409471,0.000409471,0.000409471
41,269.56,1.1008,0.94794,1.13726,0.76578,0.59421,0.64256,0.37079,1.45156,1.22969,1.33331,0.000402868,0.000402868,0.000402868
42,276.063,1.09266,0.94427,1.14044,0.76873,0.5908,0.65477,0.3794,1.4634,1.20919,1.3331,0.000396265,0.000396265,0.000396265
43,282.231,1.07496,0.9236,1.12713,0.74872,0.59838,0.66101,0.38342,1.48338,1.15805,1.36246,0.000389661,0.000389661,0.000389661
44,288.471,1.07036,0.89647,1.11607,0.72302,0.61554,0.66581,0.37866,1.47554,1.16652,1.37418,0.000383058,0.000383058,0.000383058
45,294.563,1.03923,0.86336,1.09476,0.75457,0.60374,0.67133,0.37514,1.50648,1.16639,1.36655,0.000376455,0.000376455,0.000376455
46,300.725,1.09548,0.92083,1.1294,0.75761,0.61017,0.67522,0.37633,1.49957,1.18932,1.39075,0.000369851,0.000369851,0.000369851
47,306.892,1.07259,0.88352,1.11508,0.79626,0.5904,0.67066,0.37264,1.50929,1.18707,1.38413,0.000363248,0.000363248,0.000363248
48,313.172,1.05673,0.89785,1.11829,0.77745,0.57728,0.66392,0.3737,1.471,1.17411,1.35175,0.000356645,0.000356645,0.000356645
49,319.278,1.0273,0.85516,1.09487,0.76299,0.59255,0.65892,0.37828,1.48864,1.2043,1.37972,0.000350042,0.000350042,0.000350042
50,325.724,0.99778,0.83656,1.09254,0.75445,0.60752,0.65685,0.37909,1.47917,1.19551,1.36786,0.000343438,0.000343438,0.000343438
51,332.055,1.01859,0.85651,1.09967,0.80133,0.59634,0.6675,0.38095,1.47254,1.18886,1.35503,0.000336835,0.000336835,0.000336835
